ZIP,Neighborhood,"Test rate (per 100,000)",Percent of people tested who tested positive
10001,Chelsea/NoMad/West Chelsea,11874.53,1.29
10002,Chinatown/Lower East Side,8843.68,0.63
10003,East Village/Gramercy/Greenwich Village,13404.8,0.62
10004,Financial District,10600.98,1.29
10005,Financial District,10778.8,1.44
10006,Financial District,9196.68,1.89
10007,TriBeCa,11018.54,0.55
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,11116.98,0.69
10010,Flatiron/Gramercy/Kips Bay,11655.18,0.53
10011,Chelsea,11492.81,0.49
10012,Greenwich Village/SoHo,12063.62,0.69
10013,Hudson Square/Little Italy/SoHo/TriBeCa,12503.84,0.55
10014,Hudson Square/Meatpacking District/West Village,12250.69,0.58
10016,Kips Bay/Murray Hill/NoMad,10857.82,0.67
10017,East Midtown/Murray Hill,9790.9,0.38
10018,Hell's Kitchen/Midtown Manhattan,10061.44,1.46
10019,Hell's Kitchen/Midtown Manhattan,11875.04,0.68
10021,Lenox Hill/Upper East Side,11372.79,0.9
10022,East Midtown,10891.78,0.58
10023,Lincoln Square,9697.25,0.62
10024,Upper West Side,11857.82,0.78
10025,Manhattan Valley/Morningside Heights/Upper West Side,13942.94,0.45
10026,Central Harlem (South),8506.32,0.87
10027,Central Harlem (South)/Morningside Heights/West Harlem,10829.62,0.71
10028,Upper East Side/Yorkville,8971.61,0.57
10029,East Harlem,7799.19,0.81
10030,Central Harlem (North),7550.67,0.59
10031,Hamilton Heights/West Harlem,6968.65,1.11
10032,Washington Heights (South),7544,0.88
10033,Washington Heights (North)/Washington Heights (South),7235.21,1.21
10034,Inwood/Washington Heights (North),6621.22,1.05
10035,East Harlem,9335.79,0.37
10036,Hell's Kitchen/Midtown Manhattan,11804.09,0.84
10037,Central Harlem (North)/East Harlem,8155.11,1.07
10038,Chinatown/Financial District,11048.64,1.23
10039,Central Harlem (North)/Washington Heights (South),6727.77,0.62
10040,Washington Heights (North),8788.56,0.94
10044,Roosevelt Island,8828.84,0.48
10065,Lenox Hill/Upper East Side,12098.48,0.77
10069,Lincoln Square,11060.05,0
10075,Lenox Hill/Upper East Side,11635.71,0.84
10128,Upper East Side/Yorkville,9786.16,0.47
10280,Battery Park City,7849.3,0.26
10282,Battery Park City,7959.47,0.46
10301,Silver Lake/St. George,8176.49,1.14
10302,Elm Park,6823.27,1.17
10303,Graniteville/Mariner's Harbor/Port Ivory,6450.22,0.71
10304,New Dorp/Todt Hill,7293.51,1.55
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,6646.93,1.8
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,7931.35,1.71
10307,Tottenville,5941.68,1.66
10308,Great Kills,6107.58,2.1
10309,Charleston/Prince's Bay/Woodrow,6495.99,2.38
10310,Port Richmond/Randall Manor/West Brighton,7448.38,2.31
10312,Annadale/Rossville,6629.71,2.03
10314,Bloomfield/Freshkills Park,7913.31,1.66
10451,Concourse/Melrose,6970,1.59
10452,Concourse/Highbridge,6391.9,2.25
10453,Morris Heights/Mount Hope/University Heights,6137.91,1.44
10454,Mott Haven/Port Morris,6357.36,0.86
10455,Mott Haven,6058.18,1.1
10456,Claremont/Morrisania,6642.63,1.3
10457,Belmont/Claremont/Mount Hope/Tremont,6235.52,1.1
