DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
02/29/2020,1,null,null,0
03/01/2020,0,null,null,0
03/02/2020,0,null,null,0
03/03/2020,1,null,null,0
03/04/2020,5,null,null,0
03/05/2020,3,null,null,0
03/06/2020,8,3,null,0
03/07/2020,7,3,null,0
03/08/2020,22,7,null,0
03/09/2020,57,15,null,0
03/10/2020,70,25,null,0
03/11/2020,155,46,null,0
03/12/2020,357,97,null,0
03/13/2020,619,184,null,0
03/14/2020,642,275,null,0
03/15/2020,1036,419,null,0
03/16/2020,2121,714,null,0
03/17/2020,2452,1055,null,0
03/18/2020,2973,1457,null,0
03/19/2020,3707,1936,null,0
03/20/2020,4007,2420,null,0
03/21/2020,2637,2705,null,0
03/22/2020,2580,2925,null,0
03/23/2020,3571,3132,null,0
03/24/2020,4503,3425,null,0
03/25/2020,4874,3697,null,0
03/26/2020,5050,3889,null,0
03/27/2020,5120,4048,null,0
03/28/2020,3478,4168,null,0
03/29/2020,3562,4308,null,0
03/30/2020,6131,4674,null,0
03/31/2020,5466,4812,null,0
04/01/2020,5454,4894,null,0
04/02/2020,5756,4995,null,0
04/03/2020,5670,5074,null,0
04/04/2020,3866,5129,null,0
04/05/2020,3787,5161,null,0
04/06/2020,6365,5195,null,0
04/07/2020,6049,5278,null,0
04/08/2020,5583,5297,null,0
04/09/2020,5071,5199,null,0
04/10/2020,4514,5034,null,0
04/11/2020,3731,5014,null,0
04/12/2020,2889,4886,null,0
04/13/2020,3313,4450,null,0
04/14/2020,4147,4178,null,0
04/15/2020,3877,3935,null,0
04/16/2020,3529,3714,null,0
04/17/2020,3584,3581,null,0
04/18/2020,2172,3359,null,0
04/19/2020,2346,3281,null,0
04/20/2020,3794,3350,null,0
04/21/2020,3065,3195,null,0
04/22/2020,3462,3136,null,0
04/23/2020,2843,3038,null,0
04/24/2020,2535,2888,null,0
04/25/2020,1597,2806,null,0
04/26/2020,1003,2614,null,0
04/27/2020,2290,2399,null,0
04/28/2020,2729,2351,null,0
04/29/2020,2342,2191,null,0
04/30/2020,2022,2074,null,0
05/01/2020,1889,1982,null,0
05/02/2020,1059,1905,null,0
05/03/2020,786,1874,null,0
05/04/2020,1552,1768,null,0
05/05/2020,1514,1595,null,0
05/06/2020,1399,1460,null,0
05/07/2020,1236,1348,null,0
05/08/2020,1082,1233,null,0
05/09/2020,657,1175,null,0
05/10/2020,458,1128,null,0
05/11/2020,1232,1083,null,0
05/12/2020,1285,1050,null,0
05/13/2020,1335,1041,null,0
05/14/2020,1112,1023,null,0
05/15/2020,875,993,null,0
05/16/2020,486,969,null,0
05/17/2020,359,955,null,0
05/18/2020,898,907,null,0
05/19/2020,1004,867,null,0
05/20/2020,1080,831,null,0
05/21/2020,1070,825,null,0
05/22/2020,1046,849,null,0
05/23/2020,459,845,null,0
05/24/2020,470,861,null,0
05/25/2020,468,800,null,0
05/26/2020,1053,807,null,0
05/27/2020,745,759,null,0
05/28/2020,647,698,null,0
05/29/2020,646,641,null,0
05/30/2020,349,625,null,0
05/31/2020,230,591,null,0
06/01/2020,687,622,null,0
06/02/2020,574,554,null,0
06/03/2020,516,521,null,0
06/04/2020,523,504,null,0
06/05/2020,403,469,null,0
06/06/2020,247,454,null,0
06/07/2020,198,450,null,0
06/08/2020,451,416,null,0
06/09/2020,420,394,null,0
06/10/2020,365,372,null,0
06/11/2020,368,350,null,0
06/12/2020,410,351,null,0
06/13/2020,197,344,null,0
06/14/2020,180,342,null,0
06/15/2020,379,331,null,0
06/16/2020,420,331,null,0
06/17/2020,356,330,null,0
06/18/2020,378,331,null,0
06/19/2020,362,325,null,0
06/20/2020,203,325,null,0
06/21/2020,172,324,null,0
06/22/2020,398,327,null,0
06/23/2020,383,322,null,0
06/24/2020,381,325,null,0
06/25/2020,296,314,null,0
06/26/2020,310,306,null,0
06/27/2020,207,307,null,0
06/28/2020,203,311,null,0
06/29/2020,436,317,null,0
06/30/2020,442,325,null,0
07/01/2020,397,327,null,0
07/02/2020,418,345,null,0
07/03/2020,231,333,null,0
07/04/2020,120,321,null,0
07/05/2020,153,314,null,0
07/06/2020,435,314,null,0
07/07/2020,462,317,null,0
07/08/2020,436,322,null,0
07/09/2020,392,318,null,0
07/10/2020,307,329,null,0
07/11/2020,255,349,null,0
07/12/2020,223,359,null,0
07/13/2020,484,366,null,0
07/14/2020,401,357,null,0
07/15/2020,438,357,null,0
07/16/2020,419,361,null,0
07/17/2020,415,376,null,0
07/18/2020,217,371,null,0
07/19/2020,175,364,null,0
07/20/2020,400,352,null,0
07/21/2020,339,343,null,0
07/22/2020,329,328,null,0
07/23/2020,308,312,null,0
07/24/2020,299,295,null,0
07/25/2020,153,286,null,0
07/26/2020,140,281,null,0
07/27/2020,313,269,null,0
07/28/2020,312,265,null,0
07/29/2020,286,259,null,0
07/30/2020,268,253,null,0
07/31/2020,263,248,null,0
08/01/2020,189,253,null,0
08/02/2020,134,252,null,0
08/03/2020,345,257,null,0
08/04/2020,184,238,null,0
08/05/2020,299,240,null,0
08/06/2020,289,243,null,0
08/07/2020,252,242,null,0
08/08/2020,159,237,null,0
08/09/2020,133,237,null,0
08/10/2020,303,231,null,0
08/11/2020,258,242,null,0
08/12/2020,319,245,null,0
08/13/2020,272,242,null,0
08/14/2020,279,246,null,0
08/15/2020,149,245,null,0
08/16/2020,137,245,null,0
08/17/2020,327,249,null,0
08/18/2020,282,252,null,0
08/19/2020,255,243,null,0
08/20/2020,226,236,null,0
08/21/2020,249,232,null,0
08/22/2020,134,230,null,0
08/23/2020,150,232,null,0
08/24/2020,298,228,null,0
08/25/2020,281,228,null,0
08/26/2020,312,236,null,0
08/27/2020,264,241,null,0
08/28/2020,277,245,null,0
08/29/2020,125,244,null,0
