ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,460,1952.21,114.59,5.26
10002,Chinatown/Lower East Side,Manhattan,1389,1809.64,209.76,6.34
10003,East Village/Gramercy/Greenwich Village,Manhattan,603,1120.78,65.05,3.02
10004,Financial District,Manhattan,47,1287.46,27.39,4.23
10005,Financial District,Manhattan,110,1310.13,23.82,4.05
10006,Financial District,Manhattan,49,1417.1,0,4.56
10007,TriBeCa,Manhattan,79,957.61,36.36,2.89
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,894,1521.75,119.15,4.51
10010,Flatiron/Gramercy/Kips Bay,Manhattan,374,1155.32,58.69,3.15
10011,Chelsea,Manhattan,665,1343.42,86.87,3.79
10012,Greenwich Village/SoHo,Manhattan,250,1042.48,37.53,2.98
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,351,1209.05,75.78,3.16
10014,Hudson Square/Meatpacking District/West Village,Manhattan,406,1307.86,93.42,3.51
10016,Kips Bay/Murray Hill/NoMad,Manhattan,899,1711.59,93.29,4.81
10017,East Midtown/Murray Hill,Manhattan,176,1091.32,49.61,3.4
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,213,2234.71,62.95,6.97
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,745,1833.56,103.37,4.63
10021,Lenox Hill/Upper East Side,Manhattan,694,1571,147.14,4.37
10022,East Midtown,Manhattan,427,1407.62,108.79,4.06
10023,Lincoln Square,Manhattan,703,1166.32,87.93,3.63
10024,Upper West Side,Manhattan,901,1571.39,130.8,4.32
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1630,1765.34,194.95,4.47
10026,Central Harlem (South),Manhattan,805,2063.15,125.58,6.97
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1248,1961.31,179.16,6.05
10028,Upper East Side/Yorkville,Manhattan,586,1192.15,69.17,3.97
10029,East Harlem,Manhattan,2107,2672.45,268.89,8.64
10030,Central Harlem (North),Manhattan,599,2042.84,197.8,7.55
10031,Hamilton Heights/West Harlem,Manhattan,1599,2640.49,221.28,9
10032,Washington Heights (South),Manhattan,1835,2984.1,286.21,9.74
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1611,2720.8,206.04,9.31
10034,Inwood/Washington Heights (North),Manhattan,910,2112.66,167.16,7.85
10035,East Harlem,Manhattan,1156,3357.86,400.85,9.67
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,551,2102.15,152.61,5.31
10037,Central Harlem (North)/East Harlem,Manhattan,607,2939.52,314.78,9.35
10038,Chinatown/Financial District,Manhattan,334,1514.88,127,4.81
10039,Central Harlem (North)/Washington Heights (South),Manhattan,638,2411.41,249.46,8.95
10040,Washington Heights (North),Manhattan,1358,3030.69,267.81,9.71
10044,Roosevelt Island,Manhattan,265,2264.9,307.68,7.52
10065,Lenox Hill/Upper East Side,Manhattan,399,1372.95,96.35,3.65
10069,Lincoln Square,Manhattan,75,1183.31,31.56,3.18
10075,Lenox Hill/Upper East Side,Manhattan,474,2005.57,190.4,5.24
10128,Upper East Side/Yorkville,Manhattan,755,1230.61,66.83,3.71
10280,Battery Park City,Manhattan,66,686.16,0,2.82
10282,Battery Park City,Manhattan,87,1577.39,253.83,5.89
10301,Silver Lake/St. George,Staten Island,1391,3511.42,270.11,11.67
10302,Elm Park,Staten Island,710,3781.83,170.45,14.11
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,967,3686.39,179.17,13.1
10304,New Dorp/Todt Hill,Staten Island,1601,3771.61,428.75,12.47
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1440,3383.38,190.32,12.52
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1685,3138.64,154.6,10.69
10307,Tottenville,Staten Island,440,2891.97,98.59,11.83
10308,Great Kills,Staten Island,768,2591.5,94.48,10.66
10309,Charleston/Prince's Bay/Woodrow,Staten Island,985,2984.4,96.96,11.2
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,824,3451.89,142.43,11.65
10312,Annadale/Rossville,Staten Island,1776,2945.06,97.84,11.08
10314,Bloomfield/Freshkills Park,Staten Island,3062,3370.97,223.48,11.87
10451,Concourse/Melrose,Bronx,1814,3801.44,320.63,11.83
10452,Concourse/Highbridge,Bronx,2926,3798.27,231.06,12.73
10453,Morris Heights/Mount Hope/University Heights,Bronx,2845,3504.38,205.71,12.88
10454,Mott Haven/Port Morris,Bronx,1314,3437.68,279.93,12.03
10455,Mott Haven,Bronx,1519,3601.71,265.56,12.47
10456,Claremont/Morrisania,Bronx,2963,3170.95,317.84,11.47
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2574,3446.47,253.06,11.98
10458,Belmont/Fordham University/Kingsbridge,Bronx,2533,3022.39,153.92,11.71
10459,Charlotte Gardens/Hunts Point,Bronx,1759,3637.71,345.37,11.84
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1960,3262.68,218.07,12.18
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,2060,4163.33,284.97,12.68
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2630,3400.9,239.23,11.84
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2376,3332.99,305.8,10.2
10464,City Island,Bronx,138,3170.11,206.75,10.28
10465,Country Club/Throgs Neck,Bronx,1654,3843.79,211.48,12.21
10466,Edenwald/Wakefield,Bronx,2684,3719.17,241.11,13.93
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3960,3929.19,331.4,12.7
10468,Fordham/Kingsbridge/University Heights,Bronx,3261,4252.68,293.42,13.32
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3309,4627.44,517.42,14.44
10470,Wakefield/Woodlawn,Bronx,509,3608.97,148.9,12.57
10471,Fieldston/North Riverdale/Riverdale,Bronx,888,4179.36,418.88,10.16
10472,Soundview,Bronx,2305,3394,282.71,13.26
10473,Castle Hill/Clason Point/Soundview,Bronx,2241,3618.88,226.08,12.63
10474,Hunts Point,Bronx,344,2765.7,168.84,11.03
10475,Co-op City/Edenwald,Bronx,1921,4391.54,406.92,13.64
11004,Bellerose/Douglaston-Little Neck,Queens,656,3497.07,367.83,10.09
11101,Astoria (South)/Long Island City/Sunnyside,Queens,791,2246.9,110.78,5.63
11102,Astoria (North),Queens,779,2387.16,248.22,7.56
11103,Astoria (North)/Astoria (South),Queens,724,1978.92,150.33,6.38
11104,Sunnyside,Queens,582,2349.08,169.52,7.26
11105,Ditmars Steinway,Queens,600,1671.55,122.58,5.81
11106,Astoria (South),Queens,818,2115.64,142.25,7.2
11109,Long Island City,Queens,67,1321.33,39.44,3.43
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,855,1403.75,155.97,3.64
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,2336,3182.89,332.46,12.52
11204,Bensonhurst/Mapleton,Brooklyn,2498,3149.17,185.32,13.74
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,893,2028.94,115.87,6.97
11206,Williamsburg (South),Brooklyn,1934,2262.08,180.12,7.94
